Ano,N_estados,Pearson_r,Pearson_pvalor,Spearman_rho,Spearman_pvalor
2003,27,0.038463704461326784,0.8489360321430685,0.3339438339438339,0.08868404102613206
2004,27,0.06564344810307181,0.744950729813317,0.3864468864468864,0.046465314952416945
2005,27,0.1073619572130201,0.5940223321323306,0.3882783882783883,0.045349980723535306
2006,27,0.1916049691594614,0.3383612657713153,0.4145299145299145,0.03156916463158208
2008,27,0.290494130489163,0.1415778582774323,0.46642246642246643,0.014191050970556068
2009,27,0.4329977004150089,0.02406940516971039,0.5494505494505495,0.002992259567184067
2011,27,0.48395093169013315,0.01053549257228528,0.5427350427350427,0.0034443124212986975
2012,27,0.5125612228193429,0.006264232559620907,0.5573870573870574,0.002524326653454772
2013,27,0.4440832260526247,0.020312380312763723,0.5384615384615385,0.0037613261075078947
2014,27,0.46301022459165003,0.01501238348303965,0.5378510378510378,0.0038085818164462757
2015,27,0.3800440170140703,0.050535636912308134,0.49999999999999994,0.007912738358005825
2016,27,0.3317156630320712,0.09096517644059712,0.49267399267399264,0.009032326407367942
2017,27,0.3811634658050389,0.04980448648054504,0.5097680097680098,0.006603198695559836
2018,27,0.34531280909151474,0.07771213702549622,0.4993894993894994,0.008001350213415137
