Estado,N_anos,Pearson_r,Pearson_pvalor,Spearman_rho,Spearman_pvalor
AC,14,-0.5216453489277009,0.05572895519837819,-0.2571428571428571,0.3748119038799703
AL,14,0.8498561301896495,0.00011872552529989944,0.7714285714285714,0.0012326572868001852
AM,14,0.3176354652930533,0.2684453868984157,0.3186813186813187,0.2667849608113615
AP,14,0.40332562337326555,0.1527143690652395,0.45054945054945056,0.10593278527264058
BA,14,-0.30067006548727765,0.29623677369736,-0.3934065934065934,0.16403157340077784
CE,14,0.834282325878869,0.00020714219836001055,0.8197802197802198,0.00033143695693539925
DF,14,0.8680395270169028,5.702534912533703e-05,0.8373626373626375,0.0001863973778320043
ES,14,0.8571693800048209,8.946315392583147e-05,0.8373626373626375,0.0001863973778320043
GO,14,-0.2702572699966555,0.3500535068990338,-0.21318681318681318,0.4643028200397442
MA,14,-0.8204901722895331,0.0003242096574650262,-0.7934065934065934,0.0007075341356182061
MG,14,-0.24898857037790223,0.39066648024491646,-0.27472527472527475,0.34182974371948127
MS,14,-0.7640059425684748,0.0014673254730985209,-0.6967032967032967,0.005628677002967549
MT,14,-0.8078481968693291,0.00047367746205457053,-0.6395604395604396,0.013779616833463787
PA,14,-0.7956617664875761,0.0006659276110048442,-0.5912087912087912,0.025970813668962523
PB,14,0.936216136712743,8.465314406547874e-07,0.9736263736263736,4.5902787925115095e-09
PE,14,0.9056372283265287,8.294993881810196e-06,0.8373626373626375,0.0001863973778320043
PI,14,0.09057146227409127,0.7581395103202282,0.0857142857142857,0.7707850311186757
PR,14,0.3434445764929891,0.2292688015003296,0.3010989010989011,0.2955144656072166
RJ,14,0.822413618419917,0.0003052657240447057,0.7230769230769231,0.0034752946180943048
RN,14,0.7985410620735466,0.0006156828498776286,0.7274725274725276,0.00319061631898815
RO,14,-0.38780877845944667,0.17065408522357411,-0.12087912087912088,0.6806070200628929
RR,14,0.14434196185385925,0.6224957071395909,0.14285714285714285,0.6261174762253241
RS,14,-0.20957505448168745,0.47208229852460065,-0.4153846153846154,0.1396659475175257
SC,14,0.7474118318423404,0.002121009737574769,0.6747252747252748,0.008117706397553251
SE,14,0.8215398064168106,0.00031375784441805155,0.7010989010989012,0.005211861769946939
SP,14,0.3662358084951657,0.19778738062024778,0.5032967032967033,0.06656042759911303
TO,14,0.31944654471627404,0.26557396144528606,0.16483516483516483,0.5733464050131383
