Estado,Ano,frota
AC,2004,64666.0
AC,2005,72098.0
AC,2006,81521.0
AC,2007,93949.0
AC,2008,109621.0
AC,2009,128193.0
AC,2010,149400.0
AC,2011,168309.0
AC,2012,186016.0
AC,2013,203028.0
AC,2014,220310.0
AC,2015,235966.0
AC,2016,247438.0
AC,2017,259413.0
AC,2018,273036.0
AC,2019,287418.0
AC,2020,300437.0
AC,2021,313891.0
AC,2022,327460.0
AC,2023,342469.0
AL,2004,230149.0
AL,2005,249637.0
AL,2006,272506.0
AL,2007,301532.0
AL,2008,335620.0
AL,2009,376894.0
AL,2010,427077.0
AL,2011,482355.0
AL,2012,540763.0
AL,2013,597496.0
AL,2014,652742.0
AL,2015,697027.0
AL,2016,731641.0
AL,2017,768195.0
AL,2018,809880.0
AL,2019,863322.0
AL,2020,902633.0
AL,2021,951647.0
AL,2022,1002075.0
AL,2023,1061065.0
AM,2004,265944.0
AM,2005,300071.0
AM,2006,333556.0
AM,2007,371392.0
AM,2008,416160.0
AM,2009,462789.0
AM,2010,518880.0
AM,2011,577206.0
AM,2012,630512.0
AM,2013,686964.0
AM,2014,741211.0
AM,2015,779877.0
AM,2016,803901.0
AM,2017,831248.0
AM,2018,867015.0
AM,2019,911744.0
AM,2020,952199.0
AM,2021,995170.0
AM,2022,1049810.0
AM,2023,1109143.0
AP,2004,48495.0
AP,2005,56076.0
AP,2006,65026.0
AP,2007,74621.0
AP,2008,85768.0
AP,2009,98602.0
AP,2010,114144.0
AP,2011,129086.0
AP,2012,139933.0
AP,2013,150956.0
AP,2014,163008.0
AP,2015,172245.0
AP,2016,177480.0
AP,2017,184025.0
AP,2018,192524.0
AP,2019,202686.0
AP,2020,212436.0
AP,2021,221074.0
AP,2022,229125.0
AP,2023,238723.0
BA,2004,1153276.0
BA,2005,1268954.0
BA,2006,1399382.0
BA,2007,1563479.0
BA,2008,1767102.0
BA,2009,2001414.0
BA,2010,2267296.0
BA,2011,2538527.0
BA,2012,2824597.0
BA,2013,3099264.0
BA,2014,3359699.0
BA,2015,3568326.0
BA,2016,3725116.0
BA,2017,3883763.0
BA,2018,4051383.0
BA,2019,4237842.0
BA,2020,4403458.0
BA,2021,4583005.0
BA,2022,4765676.0
BA,2023,4987181.0
CE,2004,880903.0
CE,2005,950804.0
CE,2006,1043045.0
CE,2007,1166341.0
CE,2008,1302813.0
CE,2009,1471171.0
CE,2010,1687529.0
CE,2011,1919970.0
CE,2012,2134935.0
CE,2013,2349817.0
CE,2014,2558450.0
CE,2015,2736791.0
CE,2016,2864207.0
CE,2017,2977426.0
CE,2018,3097755.0
CE,2019,3229527.0
CE,2020,3338259.0
CE,2021,3451913.0
CE,2022,3560899.0
CE,2023,3684757.0
DF,2004,764714.0
DF,2005,811039.0
DF,2006,874713.0
DF,2007,956436.0
DF,2008,1038772.0
DF,2009,1130568.0
DF,2010,1225881.0
DF,2011,1311693.0
DF,2012,1399992.0
DF,2013,1488855.0
DF,2014,1562401.0
DF,2015,1623894.0
DF,2016,1672825.0
DF,2017,1723782.0
DF,2018,1783204.0
DF,2019,1853925.0
DF,2020,1902063.0
DF,2021,1946591.0
DF,2022,1987590.0
DF,2023,2048098.0
ES,2004,673143.0
ES,2005,732109.0
ES,2006,805790.0
ES,2007,907190.0
ES,2008,1022846.0
ES,2009,1131836.0
ES,2010,1228434.0
ES,2011,1330385.0
ES,2012,1440999.0
ES,2013,1541045.0
ES,2014,1637949.0
ES,2015,1706683.0
ES,2016,1758104.0
ES,2017,1812220.0
ES,2018,1877231.0
ES,2019,1948335.0
ES,2020,2011766.0
ES,2021,2089853.0
ES,2022,2173788.0
ES,2023,2277280.0
GO,2004,1282510.0
GO,2005,1390292.0
GO,2006,1514700.0
GO,2007,1695594.0
GO,2008,1908710.0
GO,2009,2106915.0
GO,2010,2325634.0
GO,2011,2559667.0
GO,2012,2791397.0
GO,2013,3011171.0
GO,2014,3209732.0
GO,2015,3354627.0
GO,2016,3456168.0
GO,2017,3562117.0
GO,2018,3687786.0
GO,2019,3819847.0
GO,2020,3948656.0
GO,2021,4094391.0
GO,2022,4246141.0
GO,2023,4409581.0
MA,2004,315082.0
MA,2005,359154.0
MA,2006,408735.0
MA,2007,477516.0
MA,2008,558006.0
MA,2009,659988.0
MA,2010,789692.0
MA,2011,935011.0
MA,2012,1070613.0
MA,2013,1204896.0
MA,2014,1332639.0
MA,2015,1445403.0
MA,2016,1525597.0
MA,2017,1601140.0
MA,2018,1676798.0
MA,2019,1754708.0
MA,2020,1830681.0
MA,2021,1912188.0
MA,2022,1999010.0
MA,2023,2096106.0
MG,2004,4043690.0
MG,2005,4333066.0
MG,2006,4692880.0
MG,2007,5159396.0
MG,2008,5714017.0
MG,2009,6250012.0
MG,2010,6858874.0
MG,2011,7499629.0
MG,2012,8116096.0
MG,2013,8687869.0
MG,2014,9221532.0
MG,2015,9646275.0
MG,2016,10030301.0
MG,2017,10447805.0
MG,2018,10909195.0
MG,2019,11425626.0
MG,2020,11727162.0
MG,2021,12154860.0
MG,2022,12664229.0
MG,2023,13097210.0
MS,2004,548319.0
MS,2005,595185.0
MS,2006,642860.0
MS,2007,707021.0
MS,2008,780777.0
MS,2009,854735.0
MS,2010,940955.0
MS,2011,1029930.0
MS,2012,1118858.0
MS,2013,1209609.0
MS,2014,1290979.0
MS,2015,1353633.0
MS,2016,1403898.0
MS,2017,1458423.0
MS,2018,1518294.0
MS,2019,1580276.0
MS,2020,1632301.0
MS,2021,1683191.0
MS,2022,1737039.0
MS,2023,1799431.0
MT,2004,582324.0
MT,2005,645278.0
MT,2006,699819.0
MT,2007,782740.0
MT,2008,901001.0
MT,2009,1011740.0
MT,2010,1127818.0
MT,2011,1253374.0
MT,2012,1372264.0
MT,2013,1498718.0
MT,2014,1622237.0
MT,2015,1716902.0
MT,2016,1798326.0
MT,2017,1877540.0
MT,2018,1983804.0
MT,2019,2100469.0
MT,2020,2200954.0
MT,2021,2309187.0
MT,2022,2418010.0
MT,2023,2531009.0
PA,2004,433794.0
PA,2005,488211.0
PA,2006,543709.0
PA,2007,622603.0
PA,2008,722745.0
PA,2009,832195.0
PA,2010,951590.0
PA,2011,1088707.0
PA,2012,1242341.0
PA,2013,1401755.0
PA,2014,1555858.0
PA,2015,1690137.0
PA,2016,1791589.0
PA,2017,1879916.0
PA,2018,1973259.0
PA,2019,2075706.0
PA,2020,2181155.0
PA,2021,2299704.0
PA,2022,2421167.0
PA,2023,2564227.0
PB,2004,346665.0
PB,2005,376179.0
PB,2006,416296.0
PB,2007,472597.0
PB,2008,538414.0
PB,2009,607803.0
PB,2010,693058.0
PB,2011,787698.0
PB,2012,871396.0
PB,2013,950705.0
PB,2014,1026672.0
PB,2015,1104491.0
PB,2016,1172975.0
PB,2017,1225780.0
PB,2018,1280885.0
PB,2019,1339109.0
PB,2020,1394104.0
PB,2021,1453897.0
PB,2022,1505098.0
PB,2023,1574012.0
PE,2004,968374.0
PE,2005,1036969.0
PE,2006,1124195.0
PE,2007,1240412.0
PE,2008,1379886.0
PE,2009,1542236.0
PE,2010,1745345.0
PE,2011,1963742.0
PE,2012,2165637.0
PE,2013,2355467.0
PE,2014,2523678.0
PE,2015,2666071.0
PE,2016,2763073.0
PE,2017,2850622.0
PE,2018,2951076.0
PE,2019,3065428.0
PE,2020,3155558.0
PE,2021,3262306.0
PE,2022,3362709.0
PE,2023,3487681.0
PI,2004,262712.0
PI,2005,292741.0
PI,2006,330877.0
PI,2007,375313.0
PI,2008,432738.0
PI,2009,497885.0
PI,2010,578987.0
PI,2011,666804.0
PI,2012,755670.0
PI,2013,849390.0
PI,2014,940426.0
PI,2015,1016295.0
PI,2016,1075931.0
PI,2017,1130845.0
PI,2018,1185312.0
PI,2019,1238056.0
PI,2020,1277441.0
PI,2021,1323356.0
PI,2022,1367915.0
PI,2023,1430077.0
PR,2004,3125940.0
PR,2005,3373667.0
PR,2006,3618680.0
PR,2007,3947227.0
PR,2008,4308867.0
PR,2009,4636476.0
PR,2010,4993901.0
PR,2011,5377272.0
PR,2012,5758866.0
PR,2013,6136111.0
PR,2014,6484482.0
PR,2015,6714731.0
PR,2016,6885263.0
PR,2017,7068296.0
PR,2018,7297923.0
PR,2019,7561175.0
PR,2020,7779327.0
PR,2021,8022511.0
PR,2022,8241942.0
PR,2023,8484021.0
RJ,2004,3003182.0
RJ,2005,3152907.0
RJ,2006,3324987.0
RJ,2007,3565235.0
RJ,2008,3838951.0
RJ,2009,4116433.0
RJ,2010,4443655.0
RJ,2011,4793622.0
RJ,2012,5157825.0
RJ,2013,5508418.0
RJ,2014,5849857.0
RJ,2015,6112562.0
RJ,2016,6298611.0
RJ,2017,6453670.0
RJ,2018,6633057.0
RJ,2019,6851614.0
RJ,2020,6984089.0
RJ,2021,7184089.0
RJ,2022,7355916.0
RJ,2023,7576711.0
RN,2004,367353.0
RN,2005,403875.0
RN,2006,450436.0
RN,2007,514246.0
RN,2008,580116.0
RN,2009,645348.0
RN,2010,723060.0
RN,2011,798369.0
RN,2012,876524.0
RN,2013,953944.0
RN,2014,1028234.0
RN,2015,1093836.0
RN,2016,1164436.0
RN,2017,1217504.0
RN,2018,1268464.0
RN,2019,1322324.0
RN,2020,1365245.0
RN,2021,1416189.0
RN,2022,1465216.0
RN,2023,1522387.0
RO,2004,259862.0
RO,2005,289350.0
RO,2006,320835.0
RO,2007,362195.0
RO,2008,418457.0
RO,2009,480747.0
RO,2010,548404.0
RO,2011,619584.0
RO,2012,683718.0
RO,2013,740099.0
RO,2014,796579.0
RO,2015,843658.0
RO,2016,881458.0
RO,2017,915674.0
RO,2018,957522.0
RO,2019,1000838.0
RO,2020,1038565.0
RO,2021,1078004.0
RO,2022,1117046.0
RO,2023,1157699.0
RR,2004,58586.0
RR,2005,63792.0
RR,2006,71304.0
RR,2007,83732.0
RR,2008,96159.0
RR,2009,108940.0
RR,2010,124209.0
RR,2011,137755.0
RR,2012,150791.0
RR,2013,163741.0
RR,2014,177012.0
RR,2015,188989.0
RR,2016,198768.0
RR,2017,207976.0
RR,2018,216545.0
RR,2019,225799.0
RR,2020,235356.0
RR,2021,246073.0
RR,2022,258256.0
RR,2023,270062.0
RS,2004,3165221.0
RS,2005,3347225.0
RS,2006,3538050.0
RS,2007,3777798.0
RS,2008,4058817.0
RS,2009,4343333.0
RS,2010,4642095.0
RS,2011,4970299.0
RS,2012,5322325.0
RS,2013,5677766.0
RS,2014,5995598.0
RS,2015,6222592.0
RS,2016,6404074.0
RS,2017,6593567.0
RS,2018,6808473.0
RS,2019,7026524.0
RS,2020,7199950.0
RS,2021,7377318.0
RS,2022,7542855.0
RS,2023,7732638.0
SC,2004,1993891.0
SC,2005,2176190.0
SC,2006,2367882.0
SC,2007,2595138.0
SC,2008,2822731.0
SC,2009,3060718.0
SC,2010,3318865.0
SC,2011,3575659.0
SC,2012,3827497.0
SC,2013,4075497.0
SC,2014,4307440.0
SC,2015,4474587.0
SC,2016,4613688.0
SC,2017,4777949.0
SC,2018,4970403.0
SC,2019,5185799.0
SC,2020,5366263.0
SC,2021,5547550.0
SC,2022,5715763.0
SC,2023,5911088.0
SE,2004,225171.0
SE,2005,242325.0
SE,2006,262904.0
SE,2007,290801.0
SE,2008,323834.0
SE,2009,367844.0
SE,2010,417532.0
SE,2011,469312.0
SE,2012,517646.0
SE,2013,561141.0
SE,2014,606189.0
SE,2015,643620.0
SE,2016,689875.0
SE,2017,719894.0
SE,2018,749770.0
SE,2019,782241.0
SE,2020,810903.0
SE,2021,844021.0
SE,2022,878151.0
SE,2023,920535.0
SP,2004,13117465.0
SP,2005,13910465.0
SP,2006,14903910.0
SP,2007,16160320.0
SP,2008,17523709.0
SP,2009,18788751.0
SP,2010,20157293.0
SP,2011,21555038.0
SP,2012,22843057.0
SP,2013,24080461.0
SP,2014,25207096.0
SP,2015,26069500.0
SP,2016,26772908.0
SP,2017,27553998.0
SP,2018,28442258.0
SP,2019,29407908.0
SP,2020,30090393.0
SP,2021,30719166.0
SP,2022,31515743.0
SP,2023,32442479.0
TO,2004,172998.0
TO,2005,202480.0
TO,2006,245506.0
TO,2007,275722.0
TO,2008,307697.0
TO,2009,340677.0
TO,2010,381894.0
TO,2011,422661.0
TO,2012,464635.0
TO,2013,506801.0
TO,2014,548474.0
TO,2015,585744.0
TO,2016,609055.0
TO,2017,631493.0
TO,2018,657648.0
TO,2019,686551.0
TO,2020,715290.0
TO,2021,748594.0
TO,2022,783558.0
TO,2023,823110.0
