Regiao,Ano,venda_comb
Norte,2003,5940892.1416526
Norte,2004,6551163.577978009
Norte,2005,6820556.24435865
Norte,2006,7225569.80946515
Norte,2007,8073965.315451988
Norte,2008,8492087.058562757
Norte,2009,9222783.385907149
Norte,2010,10314673.86135849
Norte,2011,10045247.53686146
Norte,2012,10811819.669506801
Norte,2013,11000257.377319729
Norte,2014,11493601.335402299
Norte,2015,11101495.190005928
Norte,2016,10351606.341123
Norte,2017,10577896.667254
Norte,2018,10397543.460655
Norte,2019,10965381.519013
Norte,2020,11236303.707289
Norte,2021,12034937.242730003
Norte,2022,12222297.486198
Norte,2023,12119566.519037
Nordeste,2003,12056218.860699309
Nordeste,2004,12985614.42150287
Nordeste,2005,13158848.81581967
Nordeste,2006,13754009.45892451
Nordeste,2007,14678021.7174424
Nordeste,2008,16525568.073058609
Nordeste,2009,16879068.738304865
Nordeste,2010,18766503.45767269
Nordeste,2011,20012471.02891669
Nordeste,2012,22272428.44282275
Nordeste,2013,24285360.635294713
Nordeste,2014,27025268.185775
Nordeste,2015,25988723.69026573
Nordeste,2016,23907188.140828
Nordeste,2017,24301501.245718002
Nordeste,2018,23709718.797289
Nordeste,2019,23745630.683589
Nordeste,2020,22755793.99937
Nordeste,2021,25043456.514689002
Nordeste,2022,24220176.783871
Nordeste,2023,25555321.88243
Centro-Oeste,2003,8564014.9612533
Centro-Oeste,2004,9204958.251383899
Centro-Oeste,2005,8780964.112737201
Centro-Oeste,2006,8664567.953965237
Centro-Oeste,2007,9471368.175008532
Centro-Oeste,2008,10612468.782525405
Centro-Oeste,2009,10936975.201337028
Centro-Oeste,2010,11850815.630428461
Centro-Oeste,2011,12512253.03320699
Centro-Oeste,2012,13811202.69371127
Centro-Oeste,2013,15096846.09760776
Centro-Oeste,2014,15879603.279331999
Centro-Oeste,2015,15684865.87609426
Centro-Oeste,2016,14808262.24376
Centro-Oeste,2017,14935199.79657
Centro-Oeste,2018,15143546.35199
Centro-Oeste,2019,15779818.46083
Centro-Oeste,2020,15598113.26973
Centro-Oeste,2021,16678078.526840001
Centro-Oeste,2022,17391035.32047
Centro-Oeste,2023,18376425.28738
Sudeste,2003,41186135.880424
Sudeste,2004,42802935.319863
Sudeste,2005,43335739.176019
Sudeste,2006,44443555.488363
Sudeste,2007,48327701.014119074
Sudeste,2008,51837760.06269601
Sudeste,2009,52911006.14829992
Sudeste,2010,56412762.693746865
Sudeste,2011,58231668.76043236
Sudeste,2012,60140693.2409442
Sudeste,2013,62882672.83675995
Sudeste,2014,65156030.379819006
Sudeste,2015,64163339.60088047
Sudeste,2016,61677674.86358
Sudeste,2017,61200799.90679
Sudeste,2018,61889811.99598
Sudeste,2019,64058265.42121
Sudeste,2020,57647624.533690006
Sudeste,2021,59748746.469510004
Sudeste,2022,62589232.14962
Sudeste,2023,66060751.30121
Sul,2003,15987101.33525
Sul,2004,16875130.171409998
Sul,2005,16669114.47811
Sul,2006,16548174.56563
Sul,2007,17234658.53567487
Sul,2008,18504705.40918054
Sul,2009,18853020.30755827
Sul,2010,20607068.78540782
Sul,2011,21432162.48223144
Sul,2012,22652534.31305793
Sul,2013,24066770.477430202
Sul,2014,25028294.408838
Sul,2015,24878101.58800384
Sul,2016,24696922.21649
Sul,2017,25075094.35447
Sul,2018,25016006.37453
Sul,2019,25586118.94213
Sul,2020,24529578.53476
Sul,2021,25913117.92627
Sul,2022,26549096.51181
Sul,2023,27586366.906880002
